hour,power,demand
0,0.027374531143052706,45389.85145404669
1,0.02587511978097194,45043.81216392313
2,0.024820212183436007,45600.95820987652
3,0.02480416837782341,47404.66469478739
4,0.026214661190965095,51662.591790123435
5,0.03074867898699521,56636.05218449937
6,0.036505585215605756,60536.68231481485
7,0.04104841204654347,62627.67427754913
8,0.040977138945927444,64142.15601165976
9,0.039023415468856945,65493.69677640604
10,0.03774849418206708,65667.50596364879
11,0.035858535249828884,64816.436351166056
12,0.03369703627652293,63556.51908093276
13,0.032562279260780286,62446.893556241404
14,0.0331658726899384,61530.101899862864
15,0.034777015742642026,61539.071766118024
16,0.03851447638603696,62458.17728052122
17,0.04395348391512663,62702.48573388207
18,0.046522026009582475,61213.00168038412
19,0.04426284736481862,58367.54195473253
20,0.03988162902121834,55557.38636488341
21,0.036393764544832306,52472.37547668043
22,0.032737214236824096,49148.19479309555
23,0.029157049965776862,46793.283751714676
