"Id","Wert","KatalogKategorieId"
1571,"ABB Power-One Italy SpA",74
1572,"Adwen GmbH",74
1573,"Alpha projekt GmbH",74
1574,"ALPHACON GmbH",74
1575,"Amperax Energie GmbH",74
1576,"Anhui Hummer Dynamo Co.,Ltd.",74
1577,"AN-Maschinenbau- und Umweltschutzanlagen GmbH",74
1578,"AREVA GmbH",74
1579,"Autoflug GmbH",74
1580,"awinco Ingenieur GmbH & Co. KG",74
1581,"BARD Holding GmbH",74
1582,"BRAUN Windturbinen GmbH",74
1583,"BWE Service GmbH",74
1584,"DeWind GmbH",74
1585,"Easywind GmbH",74
1586,"ENERCON GmbH",74
1587,"eno energy GmbH",74
1588,"Eovent GmbH",74
1589,"ESPV-TEC GmbH & Co. KG",74
1590,"EUSAG AG",74
1591,"EVIAG AG",74
1592,"Frisia Windkraftanlagen Service GmbH",74
1593,"Fuhrländer AG",74
1594,"FuSystems SkyWind GmbH",74
1595,"FWT energy GmbH",74
1596,"Gamesa Corporación Tecnológica S.A.",74
1597,"GE Wind Energy GmbH",74
1598,"General Electric Deutschland Holding GmbH",74
1599,"Gödecke Energie- und Antriebstechnik GmbH",74
1600,"Hermann Brümmer Wind- und Wasserkraftanlagen KG",74
1601,"Heyde Windtechnik GmbH",74
1602,"Honeywell Windtronics",74
1603,"Husumer Dock und Reparatur GmbH & Co. KG",74
1604,"Hyden",74
1605,"InVentus Energie GmbH",74
1606,"JAMP GmbH",74
1607,"Jenny AG",74
1608,"K.D.-Stahl- und Maschinenbau GmbH",74
1609,"Kähler Maschinenbau GmbH",74
1610,"Kenersys Europe GmbH",74
1611,"Kessler Energy GmbH",74
1612,"Kleinwind GmbH",74
1613,"Krogmann GmbH & Co. KG",74
1614,"Lagerwey GmbH",74
1615,"Lely Aircon B.V. Niederlassung Leer",74
1616,"Levento power solutions GmbH & Co. KG",74
1617,"LN Glasfieber",74
1618,"Loosen Windkraft GmbH",74
1619,"LuvSide GmbH",74
1620,"LWS systems GmbH & Co. KG.",74
1621,"Mischtechnik Hoffmann & Partner GmbH",74
1622,"Mroz",74
1623,"myLEDsun",74
1624,"MyWind",74
1625,"NEG Micon Deutschland GmbH",74
1626,"Norddeutsche H-Rotoren GmbH & Co. KG",74
1627,"Nordex Energy GmbH",74
1628,"Nordex SE",74
1629,"Octopus Systems GmbH",74
1630,"Pfleiderer Deutschland GmbH",74
1631,"Pfleiderer Wind Energy GmbH",74
1632,"plenum gesellschaft für ganzheitlich nachhaltige entwicklung gmbh",74
1633,"PowerWind GmbH",74
1634,"PSW-Energiesysteme GmbH",74
1635,"QREON GmbH",74
1636,"RLE INTERNATIONAL Produktentwicklungsgesellschaft mit beschränkter Haftung",74
1637,"ROPATEC SRL",74
1638,"RS - Energietechnik GmbH",74
1639,"S & W ENERGIESYSTEME UG (haftungsbeschränkt)",74
1640,"SB Energy UK Ltd.",74
1641,"Schuler Aktiengesellschaft",74
1642,"Schütz GmbH & Co. KGaA",74
1643,"SeeBA Energiesysteme GmbH",74
1644,"SEEWIND Windenergiesysteme GmbH",74
1645,"Senvion Deutschland GmbH",74
1646,"Siemens Wind Power GmbH & Co. KG",74
1647,"SMA Solar Technology AG",74
1648,"SMG POLAND SP Z O O",74
1649,"SOLAR-WIND-TEAM GmbH",74
1650,"Stadtwerke Wedel GmbH",74
1651,"STM Montage GmbH",74
1652,"Südwind Borsig Energy GmbH",74
1653,"Svit Vitru",74
1654,"Tacke GmbH & Co. KG",74
1655,"TOZZI NORD S.R.L.",74
1656,"Uni Wind GmbH",74
1657,"VENSYS Energy AG",74
1658,"VENTEGO AG",74
1659,"VENTIS WIND SERVICE S.L",74
1660,"Vestas Deutschland GmbH",74
1661,"VWA-Deutschland GmbH Freude am Strom",74
1662,"VWT Power Ltd",74
1663,"Wenus Inventus",74
1664,"Werner Eberle GmbH",74
1665,"WES IBS GmbH",74
1666,"Wind Technik Nord GmbH",74
1667,"Wind+Wing Technologies",74
1668,"Windenergie GmbH",74
1669,"Windmanufactur GbR",74
1670,"windradshop",74
1671,"WindTec GmbH",74
1672,"Wittenbauer Technik & Consulting GmbH",74
1673,"Wolf Energy GmbH",74
1674,"WSD - Windsysteme",74
1675,"WTT GmbH",74
2554,"Sonstige",74
2872,"Dethloff & Lange GmbH",74
2873,"GE Renewable Germany GmbH",74
2874,"Home Energy International",74
2876,"Sonkyo Energy",74
2884,"Enron Wind GmbH",74
2885,"Jacobs Energie GmbH",74
2886,"bwu Brandenburgische Wind- und Umwelttechnologien GmbH",74
2887,"HSW Husumer Schiffswerft GmbH & Co. KG",74
2888,"REpower Systems SE",74
2889,"AN Windenergie GmbH",74
2890,"Bonus Energy A/S",74
2891,"Nordtank Energy Group",74
2892,"Wind World A/S",74
2893,"Ventis Energietechnik GmbH",74
2894,"Hanseatische AG",74
2895,"Procon Energiesysteme GmbH",74
2896,"Wincon West Wind A/S",74
2897,"Euroturbine B.V.",74
2898,"Aeolos Windkraftanlagen",74
2899,"Fortis Wind Energy",74
2900,"Nova-Wind GmbH",74
2901,"PreVent GmbH",74
2902,"SkyWind GmbH",74
2903,"Smart Power Electronics GmbH",74
2904,"Weinack Windenergie Anlagen GmbH",74
2905,"Qiangsheng Magnets Co.Ltd",74
2929,"MHI Vestas Offshore Wind",74
1001671,"AN Windanlagen GmbH",74
1001678,"E.A.Z. Wind GmbH",74
1001679,"Siemens Gamesa Renewable Energy GmbH & Co. KG",74
