,description,value
on_shore,,888
off_shore,,889
1571,,ABB Power-One Italy SpA
1572,,Adwen GmbH
1573,,Alpha projekt GmbH
1574,,ALPHACON GmbH
1575,,Amperax Energie GmbH
1576,,Anhui Hummer Dynamo Co. Ltd.
1577,,AN-Maschinenbau- und Umweltschutzanlagen GmbH
1578,,AREVA GmbH
1579,,Autoflug GmbH
1580,,awinco Ingenieur GmbH & Co. KG
1581,,BARD Holding GmbH
1582,,BRAUN Windturbinen GmbH
1583,,BWE Service GmbH
1584,,DeWind GmbH
1585,,Easywind GmbH
1586,,ENERCON GmbH
1587,,eno energy GmbH
1588,,Eovent GmbH
1589,,ESPV-TEC GmbH & Co. KG
1590,,EUSAG AG
1591,,EVIAG AG
1592,,Frisia Windkraftanlagen Service GmbH
1593,,Fuhrländer AG
1594,,FuSystems SkyWind GmbH
1595,,FWT energy GmbH
1596,,Gamesa Corporación Tecnológica S.A.
1597,,GE Wind Energy GmbH
1598,,General Electric Deutschland Holding GmbH
1599,,Gödecke Energie- und Antriebstechnik GmbH
1600,,Hermann Brümmer Wind- und Wasserkraftanlagen KG
1601,,Heyde Windtechnik GmbH
1602,,Honeywell Windtronics
1603,,Husumer Dock und Reparatur GmbH & Co. KG
1604,,Hyden
1605,,InVentus Energie GmbH
1606,,JAMP GmbH
1607,,Jenny AG
1608,,K.D.-Stahl- und Maschinenbau GmbH
1609,,Kähler Maschinenbau GmbH
1610,,Kenersys Europe GmbH
1611,,Kessler Energy GmbH
1612,,Kleinwind GmbH
1613,,Krogmann GmbH & Co. KG
1614,,Lagerwey GmbH
1615,,Lely Aircon B.V. Niederlassung Leer
1616,,Levento power solutions GmbH & Co. KG
1617,,LN Glasfieber
1618,,Loosen Windkraft GmbH
1619,,LuvSide GmbH
1620,,LWS systems GmbH & Co. KG.
1621,,Mischtechnik Hoffmann & Partner GmbH
1622,,Mroz
1623,,myLEDsun
1624,,MyWind
1625,,NEG Micon Deutschland GmbH
1626,,Norddeutsche H-Rotoren GmbH & Co. KG
1627,,Nordex Energy GmbH
1628,,Nordex SE
1629,,Octopus Systems GmbH
1630,,Pfleiderer Deutschland GmbH
1631,,Pfleiderer Wind Energy GmbH
1632,,plenum gesellschaft für ganzheitlich nachhaltige entwicklung gmbh
1633,,PowerWind GmbH
1634,,PSW-Energiesysteme GmbH
1635,,QREON GmbH
1636,,RLE INTERNATIONAL Produktentwicklungsgesellschaft mit beschränkter Haftung
1637,,ROPATEC SRL
1638,,RS - Energietechnik GmbH
1639,,S & W ENERGIESYSTEME UG (haftungsbeschränkt)
1640,,SB Energy UK Ltd.
1641,,Schuler Aktiengesellschaft
1642,,Schütz GmbH & Co. KGaA
1643,,SeeBA Energiesysteme GmbH
1644,,SEEWIND Windenergiesysteme GmbH
1645,,Senvion Deutschland GmbH
1646,,Siemens Wind Power GmbH & Co. KG
1647,,SMA Solar Technology AG
1648,,SMG POLAND SP Z O O
1649,,SOLAR-WIND-TEAM GmbH
1650,,Stadtwerke Wedel GmbH
1651,,STM Montage GmbH
1652,,Südwind Borsig Energy GmbH
1653,,Svit Vitru
1654,,Tacke GmbH & Co. KG
1655,,TOZZI NORD S.R.L.
1656,,Uni Wind GmbH
1657,,VENSYS Energy AG
1658,,VENTEGO AG
1659,,VENTIS WIND SERVICE S.L
1660,,Vestas Deutschland GmbH
1661,,VWA-Deutschland GmbH Freude am Strom
1662,,VWT Power Ltd
1663,,Wenus Inventus
1664,,Werner Eberle GmbH
1665,,WES IBS GmbH
1666,,Wind Technik Nord GmbH
1667,,Wind+Wing Technologies
1668,,Windenergie GmbH
1669,,Windmanufactur GbR
1670,,windradshop
1671,,WindTec GmbH
1672,,Wittenbauer Technik & Consulting GmbH
1673,,Wolf Energy GmbH
1674,,WSD - Windsysteme
1675,,WTT GmbH
2554,,Sonstige
2872,,Dethloff & Lange GmbH
2873,,GE Renewable Germany GmbH
2874,,Home Energy International
2876,,Sonkyo Energy
2884,,Enron Wind GmbH
2885,,Jacobs Energie GmbH
2886,,bwu Brandenburgische Wind- und Umwelttechnologien GmbH
2887,,HSW Husumer Schiffswerft GmbH & Co. KG
2888,,REpower Systems SE
2889,,AN Windenergie GmbH
2890,,Bonus Energy A/S
2891,,Nordtank Energy Group
2892,,Wind World A/S
2893,,Ventis Energietechnik GmbH
2894,,Hanseatische AG
2895,,Procon Energiesysteme GmbH
2896,,Wincon West Wind A/S
2897,,Euroturbine B.V.
2898,,Aeolos Windkraftanlagen
2899,,Fortis Wind Energy
2900,,Nova-Wind GmbH
2901,,PreVent GmbH
2902,,SkyWind GmbH
2903,,Smart Power Electronics GmbH
2904,,Weinack Windenergie Anlagen GmbH
2905,,Qiangsheng Magnets Co.Ltd
2929,,MHI Vestas Offshore Wind
1001671,,AN Windanlagen GmbH
1001678,,E.A.Z. Wind GmbH
1001679,,Siemens Gamesa Renewable Energy GmbH & Co. KG
-1,,Unknown
