"Typenbezeichnung","count","Hersteller"
"E-70 E4",924,1586
"E-82 E2",629,1586
"E-115",627,1586
"E-101",590,1586
"E-82",561,1586
"V90",497,1660
"V80",387,1660
"SWT-3.6-120",352,1646
"V112",347,1660
"E-40",297,1586
"E-66/18.70",276,1586
"E82",258,1586
"E-53",249,1586
"E-66",246,1586
"E-66/18.70-3",245,1586
"E-92",219,1586
"V126",213,1660
"E40",208,1586
"E-40/6.44",205,1586
"N117",204,1627
"E-70",202,1586
"E-40/5.40",173,1586
"SWT-6.0-154",163,1646
"E-48",152,1586
"3.2M114",150,1645
"N60",147,1627
"E115",146,1586
"V47",142,1660
"MD77",134,2888
"E 82",132,1586
"E 40",131,1586
"V52",127,1660
"E101",126,1586
"E66/18.70",122,1586
"AD5-116",119,1572
"Vestas V90",119,1660
"E 66/18.70",112,1586
"N117/2400",112,1627
"E-66/15.66",109,1586
"Enercon E-70 E4",107,1586
"E-138 EP3 E2",106,1586
"MM92",102,1645
"E-141 EP4",96,1586
"E70 E4",95,1586
"Vestas V112",92,1660
"TW600",91,1654
"MD 77",89,2888
"V136",88,1660
"E82 E2",86,1586
"E70",83,1586
"SWT 3.6 - 120",82,1646
"BARD 5.0",81,1581
"V150",80,1660
"V44",80,1660
"GE 2.5-120",79,1597
"SWT-3.6-120 V3",78,1646
"GE 2.75-120",77,1597
"V-80",76,1660
"6.2M126",74,1645
"E66",74,1586
"NM60/1000",74,1625
"SWT-4.0-130",71,1646
"ADWEN AD5-135",70,1572
"E40/5.40 schalloptimiert",70,1586
"GE 1.5sl",70,1597
"SVT 7.0 154",70,1646
"SWT-3.0-113",70,1646
"TW 600",70,1654
"V 112",70,1660
"E 101",69,1586
"E-58/10.58",68,1586
"Enercon E-82",68,1586
"MM82",68,1645
"V90-2.0MW",67,1660
"D4",66,1584
"MM82",66,2888
"N117/2400",66,1628
"E53",64,1586
"FL MD 77",64,1593
"E 70",63,1586
"E-66 / 18.70",63,1586
"E 40 6.44",62,1586
"E 70 E4",62,1586
"V-112",60,1660
"N117",59,1628
"Siemens 6.0-154 PB-HWRT",59,1646
"V117",59,1660
"E92",56,1586
"MHI Vestas Offshore Wind V164-8.0",56,2929
"NM 60/1000",56,1625
"MM92",55,2888
"V112-3.3",55,1660
"V112-3.0 MW",54,1660
"V66",54,1660
"V90-2.0 MW",54,1660
"Enercon E-70",53,1586
"Enercon E70/71/2000",52,1586
"Nordex N117",52,1627
"E-58",50,1586
"S70",50,1627
"E70E4",49,1586
"3.4M104",48,1645
"6.2M",48,1645
"E-126",48,1586
"D6",47,1584
"NM 82/1500",47,1625
"1.5sl",46,1597
"Enercon E-66/18.70",46,1586
"MD 77",46,1645
"V 126",46,1660
"V 90-2.0",46,1660
"E48",45,1586
"Enercon E-115",45,1586
"E-66/18.70-2",44,1586
"V80 - 2,0 MW",44,1660
"E 40/6.44",43,1586
"E-126 EP3",43,1586
"N100",43,1627
"NM72c/1500",43,1625
"V162",43,1660
"V39",43,1660
