;name;bus0;bus1;s_nom;voltage;x;r;;
0;f30t31V220_0;30_220;31_220;495,366531;220;13,88128;3,47032;;11
1;f38t31V220_1;38_220;31_220;990,7330619;220;5,43088;1,35772;;
2;f31t38V380_2;31_380;38_380;1711,266198;380;8,36775;0,836775;;
3;f14t16V220_3;14_220;16_220;495,366531;220;8,8208;2,2052;;
4;f16t15V220_4;16_220;15_220;495,366531;220;14,65888;3,66472;;
5;f14t15V220_5;14_220;15_220;495,366531;220;21,8848;5,4712;;
6;f13t17V380_6;13_380;17_380;1283,449648;380;66,7635999;6,676299903;;
7;f13t15V380_7;13_380;15_380;1283,449648;380;8,089325244;0,808925244;;
8;f85t82V220_8;85_220;82_220;990,7330619;220;4,95936;1,23984;;
9;f22t25V380_9;22_380;25_380;1711,266198;380;14,3445;1,43445;;
10;f22t24V220_10;22_220;24_220;495,366531;220;1,06016;0,26504;;
11;f24t21V220_11;24_220;21_220;495,366531;220;13,42528;3,35632;;
12;f25t24V220_12;25_220;24_220;495,366531;220;6,21536;1,55384;;
13;f21t22V380_13;21_380;22_380;855,6330989;380;14,288;1,4288;;
14;f21t29V380_14;21_380;29_380;1711,266198;380;6,39275;0,639275;;
15;f21t25V380_15;21_380;25_380;855,6330989;380;28,8205;2,88205;;
16;f36t99V380_16;36_380;99_380;1283,449648;380;43,28762338;4,328723379;;
17;f39t14V380_17;39_380;14_380;1283,449648;380;34,72296528;3,472265277;;
18;f14t13V380_18;14_380;13_380;1283,449648;380;9,889656777;0,988956777;;
19;f39t13V380_19;39_380;13_380;2566,899297;380;20,76237486;2,076274858;;
20;f39t17V380_20;39_380;17_380;1283,449648;380;65,29226804;6,529168041;;
21;f39t19V380_21;39_380;19_380;1283,449648;380;25,22230811;2,522208111;;
22;f18t19V380_22;18_380;19_380;1283,449648;380;44,97395503;4,497355026;;
23;f17t18V380_23;17_380;18_380;1283,449648;380;49,66995033;4,96695033;;
24;f12t14V220_24;12_220;14_220;495,366531;220;12,4016;3,1004;;
25;f12t15V380_25;12_380;15_380;1711,266198;380;4,2525;0,42525;;
26;f12t15V380_26;12_380;15_380;1711,266198;380;4,25725;0,425725;;
27;f10t12V380_27;10_380;12_380;427,8165495;380;7,717;0,7717;;
28;f36t99V380_28;36_380;99_380;1283,449648;380;19,45931387;1,945913874;;
29;f36t34V380_29;36_380;34_380;3422,532396;380;5,080875;0,5080875;;
30;f76t79V380_30;76_380;79_380;1711,266198;380;30,242;3,0242;;
31;f76t68V220_31;76_220;68_220;990,7330619;220;6,11504;1,52876;;
32;f76t69V220_32;76_220;69_220;495,366531;220;21,37216;5,34304;;
33;f76t75V220_33;76_220;75_220;495,366531;220;6,9872;1,7468;;
34;f75t76V220_34;75_220;76_220;495,366531;220;9,58208;2,39552;;
35;f27t26V380_35;27_380;26_380;855,6330989;380;28,0245;2,80245;;
36;f21t28V380_36;21_380;28_380;855,6330989;380;45,395;4,5395;;
37;f77t76V220_37;77_220;76_220;495,366531;220;13,28928;3,32232;;
38;f85t81V380_38;85_380;81_380;1711,266198;380;4,28225;0,428225;;
